variable,option,cause,cause_label,group_candidates,group_events,group_probability,ci95_lower,ci95_upper,other_candidates,other_events,other_probability,overall_probability,difference_vs_overall,lift_vs_overall,risk_ratio_vs_others,odds_ratio,p_fisher,p_fdr_bh,significant_fdr_005,minimum_3_events,interpretation
Sexe,Homme,MEDICAL,Blessure / médical,169,15,0.08875739644970414,0.05452510474955278,0.14127035189977236,171,8,0.04678362573099415,0.06764705882352941,0.02111033762617473,1.312065860560844,1.897189349112426,1.984577922077922,0.13584938561578408,0.6814013609439492,False,True,SURREPRESENTATION_DESCRIPTIVE
Sexe,Homme,ELIMINATION_CHALLENGE,Épreuve éliminatoire,169,7,0.04142011834319527,0.02020615182262136,0.08301899767842469,171,9,0.05263157894736842,0.047058823529411764,-0.005638705186216494,0.8801775147928995,0.7869822485207102,0.7777777777777778,0.7988942910990368,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Homme,AMBASSADEURS,Ambassadeurs,169,9,0.05325443786982249,0.028266825797166904,0.09810090049094891,171,2,0.011695906432748537,0.03235294117647059,0.020901496693351895,1.6460462614308766,4.553254437869823,4.753125,0.034787911013872665,0.5156719960437203,False,True,SIGNIFICATIF_BRUT_SEULEMENT
Sexe,Homme,VOLUNTARY,Abandon volontaire,169,7,0.04142011834319527,0.02020615182262136,0.08301899767842469,171,6,0.03508771929824561,0.03823529411764706,0.003184824225548208,1.08329540282203,1.1804733727810652,1.1882716049382716,0.7854811882620709,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Homme,FINALE_ORIENTATION,Orientation,169,11,0.0650887573964497,0.03672952366838914,0.11278077940679643,171,10,0.05847953216374269,0.061764705882352944,0.0033240515140967597,1.0538179768948999,1.11301775147929,1.120886075949367,0.8256239033757395,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Homme,FINALE_POTEAUX,Poteaux,169,12,0.07100591715976332,0.041081448211808286,0.12000014325691219,171,4,0.023391812865497075,0.047058823529411764,0.02394709363035155,1.5088757396449706,3.035502958579882,3.1910828025477707,0.04297266633697669,0.5156719960437203,False,True,SIGNIFICATIF_BRUT_SEULEMENT
Sexe,Homme,JURY_FINAL_DECISION,Défaite au jury final,169,8,0.047337278106508875,0.024178611011922285,0.09061782688265864,171,7,0.04093567251461988,0.04411764705882353,0.0032196310476853424,1.0729783037475344,1.1563820794590025,1.1641526175687666,0.7982735944666264,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Sexe,Homme,CENSORED_WINNER,Victoire,169,9,0.05325443786982249,0.028266825797166904,0.09810090049094891,171,11,0.06432748538011696,0.058823529411764705,-0.0055690915419422185,0.9053254437869823,0.8278644432490587,0.8181818181818182,0.8184549363746236,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil non physique,VOTE_CONSEIL,Conseil,281,171,0.608540925266904,0.5503765118824214,0.6637776004382508,59,34,0.576271186440678,0.6029411764705882,0.005599748796315751,1.0092873882475482,1.0559974879631568,1.143048128342246,0.6626547725912821,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
Profil physique,Profil non physique,MEDICAL,Blessure / médical,281,20,0.0711743772241993,0.046543364380014475,0.10737235579569021,59,3,0.05084745762711865,0.06764705882352941,0.0035273184006698877,1.0521429676620766,1.3997627520759193,1.4303959131545338,0.7775705196678446,0.958789049081504,False,True,PROCHE_DE_LA_MOYENNE
